,count,mean,std,min,25%,50%,75%,max,mineral
AmorfSi,48236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no AmorfSi
Gibbsite,48236.0,0.011184778120072264,0.029955999157841435,0.0,0.0,0.0,0.0,0.1399546,no AmorfSi
Katoite,48236.0,0.00010353481306251056,0.001399782423201739,0.0,0.0,0.0,0.0,0.04291764,no AmorfSi
Monosulfate,48236.0,0.0005627844338363068,0.003993769955531035,0.0,0.0,0.0,0.0,0.04950871,no AmorfSi
Gypsum,48236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no AmorfSi
Ettringite,48236.0,8.437196284932416e-10,1.8530357410407456e-07,0.0,0.0,0.0,0.0,4.069766e-05,no AmorfSi
Straetlingite,48236.0,0.014594153909318742,0.021283530864285728,0.0,0.0,0.0,0.0315614525,0.0699747,no AmorfSi
Chabazite,48236.0,0.001112878326105813,0.006121418604510245,0.0,0.0,0.0,0.0,0.06945934,no AmorfSi
Calcite,48236.0,0.3559064092849649,0.22768479723604315,0.0,0.1567043,0.3544387,0.549523175,0.795973,no AmorfSi
Hemicarbonate,48236.0,0.0009078316189693587,0.0051137384610081965,0.0,0.0,0.0,0.0,0.05976243,no AmorfSi
Monocarbonate,48236.0,0.0009078316189693587,0.0051137384610081965,0.0,0.0,0.0,0.0,0.05976243,no AmorfSi
Thaumasite,48236.0,0.010899318965255238,0.016144193038925923,0.0,0.0,0.0,0.0249216975,0.04974235,no AmorfSi
mETss,48236.0,0.010381684532117946,0.00799643440377144,0.0,0.0,0.01204179,0.0172242675,0.02284897,no AmorfSi
Al_ET_ss,48236.0,0.016664503159909107,0.012838415401593412,0.0,0.0,0.019322485,0.0276503425,0.03670131,no AmorfSi
Ca_ET_ss,48236.0,0.04999350697768633,0.038515244240738336,0.0,0.0,0.05796745,0.0829510225,0.1101039,no AmorfSi
S_ET_ss,48236.0,0.022882945008551907,0.017590692518152394,0.0,0.0,0.02656509,0.037954115,0.0499854,no AmorfSi
C_ET_ss,48236.0,0.0021138084836357174,0.0017618500247167895,0.0,0.0,0.0024301155,0.0036594569999999996,0.005109225,no AmorfSi
H2O_ET_ss,48236.0,0.2666320382717592,0.20541463690185496,0.0,0.0,0.30915974999999996,0.442405425,0.5872209,no AmorfSi
mCSHQ,48236.0,0.07446062285152168,0.01881637886884375,0.004429787,0.062448465,0.07299056000000001,0.08735947999999999,0.1221489,no AmorfSi
Ca_ss,48236.0,0.5431538062673107,0.1737162277494538,0.02374295,0.417145775,0.54142315,0.666030475,0.971046,no AmorfSi
Si_ss,48236.0,0.41786201010966906,0.08635537279921053,0.03501707,0.34973642499999996,0.4159372,0.4856948,0.5999908,no AmorfSi
K_ss,48236.0,0.010941171632687206,0.0034522981156683372,0.0005475343,0.00837339625,0.010645125,0.013267275,0.02283857,no AmorfSi
H2O_ss,48236.0,1.0202281323876357,0.2807319511358165,0.05376435,0.8426959,1.000125,1.21619525,1.725346,no AmorfSi
V_s,48236.0,66.3261334878514,6.2405484365352715,48.29359,61.6408375,66.358715,71.036305,84.13396,no AmorfSi
Gel_water,48236.0,0.4056733121966996,0.12931377356508658,0.01828227,0.312537275,0.4009876,0.4941788,0.7348651,no AmorfSi
